datetime,FREQUENCY_Hz,DEMAND_MET_MW,STORAGE_DEMAND_MW,NUCLEAR_MW,WIND_MW,SOLAR_MW,HYDRO_MW,GAS_MW,THERMAL_MW,STORAGE_MW,OTHERS_MW,NET_DEMAND_MET_MW,TOTAL_GENERATION_MW,NET_TRANSNATIONAL_EXCHANGE_MW
2026-08-01 00:00:00,50.03,227840,108,6707,22451,0,28154,2583,163043,2970,1993,205389,227901,1970
2026-08-01 00:15:00,50.06,228092,110,6711,22828,0,28329,2502,162980,3094,1985,205264,228429,1979
2026-08-01 00:30:00,50.04,227155,109,6720,22544,0,28449,2319,162602,2950,2019,204611,227603,1989
2026-08-01 00:45:00,50.06,226108,106,6709,22581,0,27860,2034,162407,2703,2011,203527,226305,2014
2026-08-01 01:00:00,50.07,223851,117,6718,22157,0,27527,1989,160992,2656,2007,201694,224046,2022
2026-08-01 01:15:00,50.03,221770,212,6741,21385,0,27440,2000,160662,1769,2050,200385,222047,2003
2026-08-01 01:30:00,49.97,220425,318,6722,21298,0,27409,1971,159780,1371,1974,199127,220525,1994
2026-08-01 01:45:00,50.01,218830,319,6725,21545,0,27146,1911,158355,1185,1981,197285,218848,2022
2026-08-01 02:00:00,50.01,218092,428,6714,21558,0,27017,1925,157732,1080,2005,196534,218031,2034
2026-08-01 02:15:00,50.04,216705,608,6721,21617,0,26659,1926,156975,870,1994,195088,216762,2045
2026-08-01 02:30:00,50.03,216286,612,6732,21753,0,26868,1904,156255,551,1989,194533,216052,2092
2026-08-01 02:45:00,50.0,216202,615,6719,22485,0,25962,1899,156275,562,1985,193717,215887,2127
2026-08-01 03:00:00,50.04,215225,616,6722,23176,0,25827,1922,154948,570,1991,192049,215156,2107
2026-08-01 03:15:00,50.02,215160,612,6739,23695,0,25557,1903,154746,413,2024,191465,215077,2062
2026-08-01 03:30:00,50.06,214653,430,6743,24014,0,25696,1901,153742,382,2004,190639,214482,2067
2026-08-01 03:45:00,50.06,213539,652,6740,23787,0,25698,1911,152834,391,1965,189752,213326,2093
2026-08-01 04:00:00,50.04,212379,651,6735,23550,0,25687,1907,152027,403,1940,188829,212249,2053
2026-08-01 04:15:00,49.99,213152,473,6719,23338,0,25822,1910,152899,414,1950,189814,213052,2049
2026-08-01 04:30:00,50.0,213132,472,6725,23141,0,25655,1911,153216,387,1944,189991,212979,2066
2026-08-01 04:45:00,49.96,213775,466,6726,23003,0,25817,1921,153909,417,1951,190772,213744,2033
2026-08-01 05:00:00,50.04,214010,147,6741,23235,143,25643,1924,154062,363,1973,190632,214084,2053
2026-08-01 05:15:00,49.96,214952,114,6744,23071,179,25709,1957,155054,324,1940,191702,214978,2124
2026-08-01 05:30:00,49.98,216653,113,6741,23180,307,25958,2015,156214,652,1953,193166,217020,2113
2026-08-01 05:45:00,50.03,218532,115,6745,23450,319,26262,1992,157483,851,1949,194763,219051,2116
2026-08-01 06:00:00,50.05,218814,114,6736,23393,353,26676,1980,157607,1021,1971,195068,219737,2076
2026-08-01 06:15:00,50.02,220689,124,6726,22997,3015,26990,1991,158919,1060,1973,194677,223671,2092
2026-08-01 06:30:00,50.02,223397,119,6729,22866,4048,27367,1969,160208,1058,1945,196483,226190,2139
2026-08-01 06:45:00,50.04,224676,123,6748,22703,6140,27721,1960,158813,908,1920,195833,226913,2107
2026-08-01 07:00:00,50.06,224755,107,6723,22780,8431,27278,1944,156718,335,1956,193544,226165,2103
2026-08-01 07:15:00,50.04,225873,381,6740,23296,11815,26947,1967,153804,359,1924,190762,226852,2095
2026-08-01 07:30:00,50.08,226496,379,6740,23839,15453,26825,1953,150269,2,1994,187204,227075,2104
2026-08-01 07:45:00,50.08,225149,462,6743,24126,19327,26684,1933,144740,4,1993,181696,225550,2093
2026-08-01 08:00:00,50.07,223635,714,6743,24352,23213,26441,1911,138879,4,2057,176070,223600,2069
2026-08-01 08:15:00,49.97,226622,1612,6737,24340,28049,26489,1907,136386,3,1955,174233,225866,2189
2026-08-01 08:30:00,49.99,227667,2132,6754,24614,32184,25924,1898,133341,3,1942,170869,226660,2106
2026-08-01 08:45:00,50.05,229872,2659,6758,25877,37089,25393,1882,129603,2,1996,166906,228600,2089
2026-08-01 09:00:00,50.05,230940,2679,6759,26475,40897,24868,1900,126821,2,1939,163568,229661,2091
2026-08-01 09:15:00,49.98,235085,3196,6750,26970,44226,24367,1886,127681,31,1960,163889,233871,2052
2026-08-01 09:30:00,50.0,236124,3502,6755,27307,47449,24097,1882,124692,66,1996,161368,234244,2083
2026-08-01 09:45:00,50.0,236996,3631,6728,27418,50288,24683,1873,122011,19,1917,159290,234937,2099
2026-08-01 10:00:00,50.06,237565,3668,6730,27831,53169,24867,1873,118616,15,1969,156565,235070,2002
2026-08-01 10:15:00,49.89,238248,4146,6728,27706,52983,24441,1882,120327,3,1996,157559,236066,2014
2026-08-01 10:30:00,49.88,237800,4430,6732,27875,55090,23668,1883,119191,1,1917,154835,236357,1983
2026-08-01 10:45:00,49.91,237462,4346,6733,28604,56188,23253,1887,117465,2,1891,152670,236023,1964
2026-08-01 11:00:00,49.98,237630,4647,6726,28513,57329,22821,1875,117176,2,1928,151788,236370,1937
2026-08-01 11:15:00,49.98,237571,4899,6737,28591,57868,22866,1878,116789,2,1952,151112,236683,1950
2026-08-01 11:30:00,50.03,236839,4144,6723,29036,59040,22875,1877,115161,2,1946,148763,236660,2004
2026-08-01 11:45:00,49.96,237641,5372,6718,29319,60097,22901,1882,114949,2,1934,148225,237802,1972
2026-08-01 12:00:00,49.95,237542,5390,6691,29272,59349,22869,1869,115575,2,1923,148921,237550,1957
2026-08-01 12:15:00,49.8,235624,5306,6708,29074,56371,22929,1871,116145,3,1925,150179,235026,1975
2026-08-01 12:30:00,50.01,236519,5466,6702,29780,59072,22968,1886,114539,2,1915,147667,236864,1964
2026-08-01 12:45:00,50.03,237131,5313,6721,29956,59839,23082,1882,113290,2,1917,147336,236689,1976
2026-08-01 13:00:00,50.09,235324,5221,6704,29961,58480,23042,1879,111927,2,1868,146883,233863,1956
2026-08-01 13:15:00,49.97,231986,4983,6699,16945,55964,23147,1871,111887,4,1882,159077,218399,1964
2026-08-01 13:30:00,49.97,232206,4804,6688,29830,53762,23156,1864,113885,3,1895,148614,231083,2000
2026-08-01 13:45:00,49.98,233891,4445,6691,17622,54210,23371,1874,114395,4,1954,162059,220121,2008
2026-08-01 14:00:00,50.07,233238,4087,6707,29758,54414,23568,1863,114697,2,1879,149066,232888,1973
2026-08-01 14:15:00,50.0,234597,3976,6684,30036,53801,23149,1860,117032,4,1833,150760,234399,1955
2026-08-01 14:30:00,49.93,236308,3639,6691,29976,51656,23342,1869,120356,3,1871,154676,235764,1992
2026-08-01 14:45:00,50.05,238039,2609,6705,30120,52075,23421,1864,121455,2,1928,155844,237570,2016
2026-08-01 15:00:00,50.01,238122,2509,6694,30191,50369,23859,1857,123104,3,1889,157562,237966,2066
2026-08-01 15:15:00,49.97,237407,2382,6686,30175,46738,24281,1866,125528,5,1870,160494,237149,2102
2026-08-01 15:30:00,49.9,237473,2227,6695,30465,43401,24335,1866,128415,2,1911,163607,237090,2090
2026-08-01 15:45:00,49.89,237851,2103,6688,30650,40923,24818,1856,130350,3,1912,166278,237200,2089
2026-08-01 16:00:00,49.95,236985,1882,6662,30811,37907,24921,1855,132494,4,1882,168267,236536,2065
2026-08-01 16:15:00,50.0,235690,1880,6690,30868,35766,24403,1845,134119,2,1930,169056,235623,2090
2026-08-01 16:30:00,50.0,234969,1482,6694,31116,32126,24497,1859,136495,2,2015,171727,234804,2107
2026-08-01 16:45:00,49.95,234955,1213,6698,31297,28392,23970,1853,140533,2,1991,175266,234736,2137
2026-08-01 17:00:00,50.03,233749,969,6677,31244,24546,24069,1750,143143,2,2053,177959,233484,2106
2026-08-01 17:15:00,50.01,230796,715,6681,31516,20783,24449,1737,143659,2,2043,178497,230870,2110
2026-08-01 17:30:00,50.05,229463,473,6681,30932,17409,24528,1739,146520,2,2074,181122,229885,2091
2026-08-01 17:45:00,49.94,229000,216,6682,29904,13761,25092,1744,150542,2,2001,185335,229728,2102
2026-08-01 18:00:00,50.02,229322,224,6677,29249,10627,25767,1781,153303,725,1992,189446,230121,2111
2026-08-01 18:15:00,49.97,226825,112,6702,28967,7677,26052,1971,154109,941,1976,190181,228395,2075
2026-08-01 18:30:00,49.88,228783,10,6690,28544,5333,26616,2027,158237,988,1989,194906,230424,2008
2026-08-01 18:45:00,49.93,231264,4,6695,28314,4001,27611,2172,161694,1349,1998,198949,233834,2008
2026-08-01 19:00:00,50.05,231955,5,6688,28304,3057,28316,2339,162324,1883,2023,200594,234934,2060
2026-08-01 19:15:00,50.05,236482,1,6700,28198,2371,29879,2591,164979,2776,2010,205913,239504,2019
2026-08-01 19:30:00,50.03,237506,1,6709,28748,0,30333,2655,165246,3049,2028,208758,238768,2059
2026-08-01 19:45:00,50.03,238211,1,6713,28652,0,30612,2649,165604,3259,2059,209559,239548,2076
2026-08-01 20:00:00,50.07,237624,1,6718,28184,0,31054,2675,164922,3758,2001,209440,239312,2010
2026-08-01 20:15:00,50.05,236546,1,6702,28125,0,30099,2693,164554,3534,2080,208421,237787,1976
2026-08-01 20:30:00,50.01,236290,1,6708,27692,0,30167,2683,164828,3514,2085,208598,237677,1969
2026-08-01 20:45:00,49.99,236133,0,6705,27015,0,29847,2707,165593,2983,2033,209118,236883,1981
2026-08-01 21:00:00,49.9,236183,1,6688,26400,0,29699,2719,166266,3670,2134,209783,237576,2002
2026-08-01 21:15:00,49.87,235933,1,6686,26126,0,29559,2722,166211,4204,2044,209807,237552,2011
2026-08-01 21:30:00,49.99,235957,1,6701,26432,0,29292,2723,166167,4265,2052,209525,237632,1990
2026-08-01 21:45:00,49.96,236183,8,6696,26377,0,29428,2730,166261,4231,2138,209806,237861,2018
2026-08-01 22:00:00,50.04,235193,3,6714,26477,0,29071,2721,165753,4251,2050,208716,237037,2009
2026-08-01 22:15:00,49.98,236149,14,6706,26326,0,28963,2721,166438,4582,2060,209823,237796,1974
2026-08-01 22:30:00,49.97,236373,2,6709,26203,0,29116,2722,166545,3523,2090,210170,236908,1994
2026-08-01 22:45:00,50.0,235133,0,6707,25838,0,28962,2731,165908,3516,2160,209295,235822,1991
2026-08-01 23:00:00,50.02,233890,22,6719,25200,0,28802,2721,165598,4533,2063,208690,235636,1964
2026-08-01 23:15:00,50.03,233676,31,6719,25145,0,28466,2738,165789,4392,2103,208531,235352,1946
2026-08-01 23:30:00,50.07,231931,30,6715,25075,0,28050,2682,164574,4263,2102,206856,233461,1926
2026-08-01 23:45:00,50.05,231849,64,6712,25503,0,28044,2653,164476,3859,2039,206346,233286,1951
2026-08-02 00:00:00,50.05,230442,75,6722,25654,0,27746,2627,163725,3100,2055,204788,231629,2002
2026-08-02 00:15:00,50.03,230144,7,6725,25546,0,28084,2536,164171,2411,2085,204598,231558,2032
2026-08-02 00:30:00,49.98,228138,6,6709,25284,0,28484,2360,162271,2384,2040,202854,229532,2019
2026-08-02 00:45:00,49.97,226183,4,6719,24873,0,28184,2095,161405,2321,2065,201310,227662,2029
2026-08-02 01:00:00,49.9,224334,3,6732,24285,0,28196,1981,160235,1626,2093,200049,225148,2038
2026-08-02 01:15:00,49.82,222334,17,6707,23983,0,27830,1954,159829,1293,2031,198351,223627,2043
2026-08-02 01:30:00,49.93,221329,17,6702,23087,0,27984,1953,159578,1200,2072,198242,222576,2024
2026-08-02 01:45:00,49.93,220053,17,6718,22191,0,27464,1973,159854,1199,2057,197862,221456,2019
2026-08-02 02:00:00,50.02,218697,17,6710,21604,0,27583,1907,159138,1175,1995,197093,220112,2030
2026-08-02 02:15:00,49.99,218576,197,6716,21559,0,26948,1906,159749,1062,2014,197017,219954,2032
2026-08-02 02:30:00,50.04,217368,17,6721,21826,0,26745,1948,158555,868,1992,195542,218655,2047
2026-08-02 02:45:00,50.06,217246,17,6718,22369,0,26667,1957,157769,876,2035,194877,218391,2072
2026-08-02 03:00:00,50.1,216344,17,6729,22935,0,26403,1899,156373,812,2074,193409,217225,2087
2026-08-02 03:15:00,50.04,216267,16,6724,22978,0,26346,1901,156510,843,1974,193289,217276,2093
2026-08-02 03:30:00,50.01,215197,14,6738,22654,0,26590,1899,155735,864,2001,192543,216481,2042
2026-08-02 03:45:00,50.05,214524,54,6717,22608,0,26658,1890,154872,839,2043,191916,215627,2038
2026-08-02 04:00:00,50.03,214183,54,6745,22624,0,26570,1887,154730,750,2046,191559,215352,2037
2026-08-02 04:15:00,50.05,215088,54,6746,22894,0,26702,1895,155236,585,2059,192194,216117,2042
