date,NR,WR,SR,ER,NER
2026-08-01,1942,1406.8,1355.47,686.81,75.22
2026-08-02,1907,1392.2,1297.83,682.49,73.22
2026-08-03,1913,1459.8,1371.55,692.15,74.33
2026-08-04,1783,1487.1,1343.57,678.12,72.7
2026-08-05,1802,1483.3,1339.17,656.11,71.04
2026-08-06,1688,1500.9,1365.9,643.39,76.52
2026-08-07,1675,1501.1,1325.15,657.17,78.04
2026-08-08,1662,1499.5,1293.18,668.37,74.52
2026-08-09,1705,1453.6,1225.33,665.24,71.38
2026-08-10,1793,1516.8,1342.34,687.69,75.67
2026-08-11,1739,1542.3,1380.48,693.79,79.78
2026-08-12,1809,1533.1,1386.04,710.16,81.59
2026-08-13,1899,1541.9,1385.84,693.47,81.5
2026-08-14,1889,1536.6,1394.13,683.16,82.72
2026-08-15,1747,1401.1,1285.95,674.56,77.72
2026-08-16,1735,1417.3,1281.68,667.3,71.23
2026-08-17,1805,1502.4,1401.85,645.43,70.64
2026-08-18,1833,1518.8,1438.96,615.2,76.79
2026-08-19,1846,1539.0,1422.3,651.31,78.63
2026-08-20,1869,1562.4,1410.57,695.53,81.0
2026-08-21,1896,1615.9,1429.77,727.89,80.73
2026-08-22,1846,1598.3,1415.63,734.74,80.83
2026-08-23,1821,1546.8,1300.72,699.47,77.92
2026-08-24,1868,1587.9,1308.04,683.98,75.83
2026-08-25,1835,1607.7,1321.48,687.27,78.53
2026-08-26,1847,1595.4,1349.52,688.55,80.51
2026-08-27,1873,1604.4,1372.42,699.45,80.4
2026-08-28,1810,1487.9,1409.55,707.33,79.13
2026-08-29,1854,1566.1,1388.79,688.38,80.63
2026-08-30,1851,1552.4,1310.34,662.07,77.2
2026-08-31,1879,1613.3,1382.4,655.51,71.67
